observer,condition,trial,time_taken,acc,time_taken_s
51,feature,3,33.327431,0.5897435897435898,0.47677779536989745
51,feature,4,29.239899,0.6410256410256411,-0.17395256085191296
51,feature,5,29.916464,0.6153846153846154,-0.0601910067763045
51,feature,6,28.208102,0.7692307692307693,-0.35261553614901664
51,feature,7,29.294001,0.6153846153846154,-0.16475919591444665
51,feature,8,35.545314,0.6410256410256411,0.7971906616670802
51,feature,9,27.48608,0.7435897435897436,-0.4815691301251471
51,feature,10,29.69945,0.6153846153846154,-0.09639829349930924
51,feature,11,28.004103,0.8461538461538461,-0.38871226451778584
51,feature,12,26.484157,0.7435897435897436,-0.666240018043816
51,feature,13,24.961567,0.7435897435897436,-0.9607018832656145
51,feature,14,25.040264,0.7435897435897436,-0.9450473131788458
51,feature,15,30.57261,0.5641025641025641,0.04770592667751197
51,feature,16,26.175806,0.717948717948718,-0.7244822879814391
51,feature,17,28.651815,0.5384615384615384,-0.2749956028694499
51,feature,18,27.020718,0.6153846153846154,-0.5664909548451323
51,feature,19,26.703947,0.6923076923076923,-0.6251378803880202
51,feature,20,25.953872,0.5897435897435898,-0.766828048770938
51,conjunction,1,31.165023,0.5897435897435898,0.14315164549422357
51,conjunction,2,30.920132,0.5641025641025641,0.1039182564393897
51,conjunction,3,32.419843,0.6923076923076923,0.339466235797156
51,conjunction,4,30.439772,0.5128205128205128,0.026050160608924625
51,conjunction,5,32.293883,0.5641025641025641,0.3201062376105835
51,conjunction,6,28.399783,0.6666666666666666,-0.31893551814573917
51,conjunction,7,30.072201,0.6153846153846154,-0.03436887454910666
51,conjunction,8,32.586485,0.4358974358974359,0.36496377706762084
51,conjunction,9,31.463226,0.5384615384615384,0.19051184665836368
51,conjunction,10,26.331822,0.6153846153846154,-0.6949282698737272
51,conjunction,11,30.345861,0.5384615384615384,0.010683327146635354
51,conjunction,12,34.142101,0.6153846153846154,0.5968835043958843
51,conjunction,13,31.562095,0.5897435897435898,0.20611505649832768
51,conjunction,14,30.513591,0.5384615384615384,0.03809605955575364
51,conjunction,15,28.513396,0.5128205128205128,-0.29907986042976775
51,conjunction,16,29.28011,0.5128205128205128,-0.1671180242233841
51,conjunction,17,29.207606,0.6923076923076923,-0.17944810849939546
51,conjunction,18,28.457267,0.4358974358974359,-0.308879377852828
